SECTION TITLE,DESCRIPTION,Year 1,Year 2,Source/Calculation
REVENUE,MEMBERS_ MONTHLY,270,380,https://docs.google.com/document/d/1Bt8Y3bVvrlQUXOjdv80AqQA7FbKgtfsnr4K9rSAqWDE/edit?usp=sharing
REVENUE,MEMBERS_PRICE,50,50,https://docs.google.com/spreadsheets/d/11IAXH7emWI-WaSasR6AAgeBZXTDgjuh8/edit?usp=sharing&ouid=112884505940743111356&rtpof=true&sd=true
REVENUE,DAY_PASSES_MONTHLY,250,320,https://docs.google.com/document/d/1J1FZkmbktUikjif8V3ogvJrifSfrbXcjdSNEESnlcnU/edit?usp=sharing
REVENUE,DAY_PASS_PRICE,12,14,https://docs.google.com/spreadsheets/d/11IAXH7emWI-WaSasR6AAgeBZXTDgjuh8/edit?usp=sharing&ouid=112884505940743111356&rtpof=true&sd=true
REVENUE,OTHER_REV_MONTH,500,700,https://docs.google.com/document/d/1iOhH6qKzYc9zZlHl8Jfk23qU5ln6fK0zCbELc8QHUSI/edit?usp=sharing
CAPITAL EXPENDITURE (SETUP),WALLS_&_MATTS,275000,,Supplier quote
CAPITAL EXPENDITURE (SETUP),HOLDS_BUDGET,25000,,Supplier quote
CAPITAL EXPENDITURE (SETUP),GENERAL_CONSTRUCTION,50000,,Average cost calculated on previous construction of similar size
CAPITAL EXPENDITURE (SETUP),STRIP_OUT,20000,,Average cost calculated on previous construction of similar size
FIXED PREMISES COSTS,RENT,0,"35,000",Cost guidance provided by Queensgate
FIXED PREMISES COSTS,BUSINESS_RATES,35000,"35,000",Cost guidance provided by Queensgate
FIXED PREMISES COSTS,SERVICE_CHARGE,57850,"57,850",Cost guidance provided by Queensgate
FIXED PREMISES COSTS,UTILITIES,24000,"24,000",Cost guidance provided by Queensgate
STAFFING COSTS,GENERAL_MANAGER,30000,"30,000",External hire at ££35k (C) vs. experienced or founder-managed at £30-32k (R/O). Based on East England gym manager averages (£33-36k). Founder operation reduces cost and improves DSCR
STAFFING COSTS,CLIMBING_INSTRUCTORS,15000,"39,600",£26k each (C) for qualified CWI instructors; £24k (R) typical regional rate; £22k (O) with mixed part-time or volunteer cover. Based on ABC Climbing Jobs & UK wall benchmarks
STAFFING COSTS,RECEPTION_FRONT_DESK,3500,"12,000","25-35 hrs/week coverage; £20k (C) full rota, £18k (R) leaner, £16k (O) shared role or self-check-in system (e.g., Griptonite). Matches small-wall staffing levels."
STAFFING COSTS,CLEANER_MAINTENANCE,7000,"8,800","Contracted daily 7 days (C-£11k), reduced 5-6 days (R - £10k), or part-time shared service (O - £9k). Based on UK cleaning contractor rates £10-13/hr"
STAFFING COSTS,PAYROLL_NI_HOLIDAY,8000,"15,000","20 % uplift (C/R) covers NI 13.8 %, pension 3 %, holiday/training. 17 % (O) if mostly PT or owner-operated. Based on HMRC employer cost guidance"
OPERATING & MAINTENANCE,ROUTE_SETTING_&_HOLDS_REPLACEMENT,4000,"4,000","Year 1: 3-4 resets instead of 6, minimal spare holds; use freelance setters at ~£300/day"
OPERATING & MAINTENANCE,EQUIPMENT_&_PPE_TESTING,1200,"1,380",Year 1: single LOLER + basic inspections; less equipment volume
OPERATING & MAINTENANCE,CLEANING_&_WASTE,2000,"2,000",Year 1: small-scale contract or part-time cleaner; reduced bin service frequency
OPERATING & MAINTENANCE,REPAIRS_&_MAINTENANCE,2000,"2,000",New fit-out should need limited repair; keep minor contingency only
OPERATING & MAINTENANCE,INSURANCE,6500,"6,500",First-year policy discounts often available; smaller insured contents pre-café
OPERATING & MAINTENANCE,IT_SOFTWARE_WIFI_CCTV,1500,"1,500",Year 1: use basic POS + single camera system; delay CRM upgrade
OPERATING & MAINTENANCE,PRS_MUSIC_LICENCE,650,644,Mandatory from Day 1 but fixed low cost
MARKETING,LAUNCH_CAMPAIGN,1500,"2,000","Owner to handle design and digital ads; cost covers boosted posts, local PR ads, signage, and flyers"
MARKETING,PAID_ADS_ONGOING,2400,"5,400","Year 1 minimal spend: £200/month across Meta + Google; rely heavily on organic reach, content, and partnerships"
MARKETING,WEBSITE_HOSTING,400,540,Use existing Squarespace/WordPress subscription and handle SEO/updates yourself. | v2 efficiencies: cost efficiency
MARKETING,PRINT_&_MERCH,600,"1,080",Limited signage and posters; produce materials in-house
MARKETING,COMMUNITY_EVENTS_LOCAL,800,"1,080",Run 1-2 open days or collaborations with nearby leisure outlets; minimal spend on prizes and refreshments
ADMIN & PROFESSIONAL FEES,ACCOUNTANCY_BOOKKEEPING,1000,"1,100",Year 1: use small local accountant for year-end + self-manage bookkeeping in Xero or QuickBooks
ADMIN & PROFESSIONAL FEES,LEGAL_HR,800,"1,800","Basic one-off legal review of lease, insurance and H&S templates; postpone ongoing retainers until Year 2"
ADMIN & PROFESSIONAL FEES,BANK_FEES_CARD_PROCESSING,1700,"2,200",First-year turnover smaller ‚1 % of £175 k revenue. Update automatically in model to scale with sales
ADMIN & PROFESSIONAL FEES,OFFICE_SUPPLIES_SOFTWARE,800,"1,000",Minimal printing and admin tools; use Google Workspace or Microsoft 365 personal tier
